JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497534_147.batch|COMPLETED|0:0|00:01:14|507M|2
50497534_147.extern|COMPLETED|0:0|00:01:14||2
50497534_148|COMPLETED|0:0|00:01:19||2
50497534_148.batch|COMPLETED|0:0|00:01:19|523360K|2
50497534_148.extern|COMPLETED|0:0|00:01:19||2
50497534_149|COMPLETED|0:0|00:01:15||2
50497534_149.batch|COMPLETED|0:0|00:01:15|522568K|2
50497534_149.extern|COMPLETED|0:0|00:01:15||2
50497534_150|COMPLETED|0:0|00:00:32||2
50497534_150.batch|COMPLETED|0:0|00:00:32|519384K|2
50497534_150.extern|COMPLETED|0:0|00:00:32||2
50497534_151|COMPLETED|0:0|00:00:43||2
50497534_151.batch|COMPLETED|0:0|00:00:43|521060K|2
50497534_151.extern|COMPLETED|0:0|00:00:43||2
50497534_152|COMPLETED|0:0|00:00:27||2
50497534_152.batch|COMPLETED|0:0|00:00:27|2052K|2
50497534_152.extern|COMPLETED|0:0|00:00:27||2
50497534_153|COMPLETED|0:0|00:00:41||2
50497534_153.batch|COMPLETED|0:0|00:00:41|519436K|2
50497534_153.extern|COMPLETED|0:0|00:00:41||2
50497534_154|COMPLETED|0:0|00:00:46||2
50497534_154.batch|COMPLETED|0:0|00:00:46|518904K|2
50497534_154.extern|COMPLETED|0:0|00:00:46||2
50497534_155|COMPLETED|0:0|00:02:44||2
50497534_155.batch|COMPLETED|0:0|00:02:44|521976K|2
50497534_155.extern|COMPLETED|0:0|00:02:44||2
50497534_156|COMPLETED|0:0|00:02:42||2
50497534_156.batch|COMPLETED|0:0|00:02:42|523072K|2
50497534_156.extern|COMPLETED|0:0|00:02:42||2
50497534_157|COMPLETED|0:0|00:02:55||2
50497534_157.batch|COMPLETED|0:0|00:02:55|526380K|2
50497534_157.extern|COMPLETED|0:0|00:02:55||2
50497534_158|COMPLETED|0:0|00:13:28||2
50497534_158.batch|COMPLETED|0:0|00:13:28|524792K|2
50497534_158.extern|COMPLETED|0:0|00:13:28||2
50497534_159|COMPLETED|0:0|00:14:11||2
50497534_159.batch|COMPLETED|0:0|00:14:11|526488K|2
50497534_159.extern|COMPLETED|0:0|00:14:11||2
50497534_160|COMPLETED|0:0|00:01:26||2
50497534_160.batch|COMPLETED|0:0|00:01:26|520668K|2
50497534_160.extern|COMPLETED|0:0|00:01:26||2
